,ElevGp
P_albagula,Low
P_amplus,High
P_angusticlavius,Low
P_aureolus,Low
P_caddoensis,Low
P_chattahoochee,Low
P_cheoah,High
P_chlorobryonis,Low
P_cinereus,Low
P_cylindraceus,Low
P_dorsalis,Low
P_electromorphus,Low
P_fourchensis,Low
P_glutinosus,Low
P_grobmani,Low
P_hoffmani,Low
P_hubrichti,High
P_jordani,High
P_kentucki,Low
P_kiamichi,Low
P_kisatchie,Low
P_meridianus,Low
P_metcalfi,Low
P_mississippi,Low
P_montanus,High
P_nettingi,High
P_ocmulgee,Low
P_ouachitae,Low
P_petraeus,Low
P_punctatus,High
P_richmondi,Low
P_savannah,Low
P_sequoyah,Low
P_serratus,Low
P_shenandoah,High
P_shermani,High
P_teyahalee,Low
P_variolatus,Low
P_ventralis,Low
P_virginia,Low
P_websteri,Low
P_wehrlei,Low
P_welleri,High
P_yonahlossee,High
