aa	CODE	SP	SEX
5	A13	PB	F
8	A4	PB	F
9	A40	PB	F
10	A41	PB	F
14	A46	PB	F
15	A47	PB	F
16	A49	PB	F
28	B16	PB	F
38	B26	PB	F
42	B30	PB	F
44	B32	PB	F
45	B33	PB	F
49	B5	PB	F
55	C10	PB	F
61	C2	PB	F
68	C35	PB	F
69	C36	PB	F
70	C37	PB	F
76	C8	PB	F
79	F2	PB	F
81	F21	PB	F
82	F22	PB	F
83	F23	PB	F
89	F8	PB	F
91	T1	PB	F
98	T8	PB	F
106	X16	PB	F
112	X29	PB	F
124	Z	PB	F
1	A1	PB	M
2	A10	PB	M
6	A2	PB	M
7	A3	PB	M
17	A5	PB	M
25	B13	PB	M
27	B15	PB	M
32	B20	PB	M
35	B23	PB	M
36	B24	PB	M
37	B25	PB	M
39	B27	PB	M
43	B31	PB	M
46	B34	PB	M
48	B4	PB	M
50	B6	PB	M
53	B9	PB	M
57	C14	PB	M
66	C33	PB	M
67	C34	PB	M
72	C4	PB	M
73	C5	PB	M
74	C6	PB	M
77	C9	PB	M
78	F1	PB	M
84	F3	PB	M
86	F5	PB	M
87	F6	PB	M
90	F9	PB	M
102	X11	PB	M
108	X18	PB	M
116	X33	PB	M
